bathrooms,sqft_lot,grade,sqft_above,sqft_basement,yr_built,lat,long,caro
"0,75",12120,4,560,0,1967,"47,675","-121,854",1
"0,75",5050,4,430,0,1912,"47,6499","-121,909",0
"0,75",15029,6,870,290,1937,"47,6929","-121,87",1
"1,75",16275,7,1660,0,1990,"47,6903","-121,915",0
"1,75",17585,7,1150,0,1964,"47,6503","-121,908",1
"1,75",16105,7,1410,0,1982,"47,6927","-121,913",0
"2,5",5000,8,1980,0,2008,"47,6492","-121,908",0
"2,75",31238,9,2150,0,1996,"47,6596","-121,96",1
"2,5",21937,8,2490,0,1993,"47,6442","-121,898",0
2,204732,8,3000,0,1979,"47,6331","-121,945",0
1,10168,6,1010,0,1979,"47,6453","-121,912",1
"2,5",156988,9,1870,1070,1996,"47,6214","-121,946",0
1,40946,5,960,0,1945,"47,6951","-121,864",1
"1,5",5000,7,980,0,1922,"47,7076","-121,359",0
1,10235,6,780,0,1989,"47,713","-121,315",0
"2,5",60467,9,3130,0,1996,"47,6618","-121,962",0
"2,5",218235,8,3360,0,1989,"47,6601","-121,946",0
"1,75",19550,7,1370,0,1978,"47,7002","-121,912",1
"3,25",38509,10,3710,0,1998,"47,693","-121,868",1
1,7500,6,900,0,1961,"47,6481","-121,916",1
"2,75",68479,8,1340,500,1989,"47,6802","-121,908",0
"0,75",38500,5,490,0,1959,"47,7112","-121,315",1
3,982278,8,2560,0,2004,"47,6955","-121,861",1
"1,75",5071,5,1400,0,1916,"47,6499","-121,908",1
"1,75",216493,8,2220,0,1989,"47,6624","-121,951",1
"2,5",63118,9,2770,0,1997,"47,6622","-121,961",1
1,20524,6,1040,0,1949,"47,6981","-121,875",0
"2,5",32780,9,2690,0,1998,"47,6612","-121,955",1
"1,5",9000,6,1530,0,1976,"47,6492","-121,908",0
"2,5",13816,7,1650,0,1998,"47,6553","-121,912",0
"3,5",85728,11,3840,0,1998,"47,615","-121,954",0
1,6488,5,890,0,1928,"47,7087","-121,352",0
3,60392,9,3180,940,1994,"47,6804","-121,913",0
"2,5",203860,9,3680,0,1994,"47,6903","-121,929",0
"1,75",87991,6,1040,1040,1970,"47,6724","-121,865",0
"2,75",12860,7,1350,1250,1965,"47,695","-121,918",0
2,16535,7,1850,0,1992,"47,6565","-121,912",0
"2,5",11480,7,1450,0,1990,"47,672","-121,864",0
3,57499,9,1880,1840,2003,"47,6469","-121,897",0
"2,5",18778,7,1676,0,1997,"47,6521","-121,905",0
2,15005,7,1610,0,1986,"47,6886","-121,911",0
1,223898,6,960,0,1985,"47,6668","-121,892",1
"1,75",149410,9,2720,0,1988,"47,7092","-121,892",0
"2,75",122403,7,2200,0,1971,"47,6301","-121,911",1
"3,25",25741,8,3410,0,1993,"47,6929","-121,868",0
1,19115,6,1710,0,1986,"47,656","-121,913",0
"1,75",47044,7,1640,0,1989,"47,654","-121,94",1
"2,5",185130,9,2630,0,1991,"47,7035","-121,894",0
"2,5",22445,8,2300,0,1992,"47,6454","-121,902",0
"1,75",266587,8,2440,490,1995,"47,6991","-121,947",0
2,209088,7,2350,0,1993,"47,6527","-121,949",1
1,12724,6,930,0,1912,"47,6567","-121,909",1
"4,25",68257,11,5584,0,1998,"47,6113","-121,952",1
"2,5",42646,7,1450,980,1989,"47,6164","-121,953",0
4,871200,11,3605,1940,2003,"47,676","-121,882",0
2,14992,8,1570,0,2001,"47,6965","-121,922",0
"2,5",147823,7,1778,0,1999,"47,6811","-121,915",1
"1,75",13052,7,1320,0,1980,"47,712","-121,352",0
"1,75",15084,7,840,840,1979,"47,6895","-121,912",0
"2,5",215186,7,2120,0,1983,"47,701","-121,857",0
2,266151,7,2350,0,1983,"47,6609","-121,892",0
"1,75",9750,7,1070,0,1995,"47,7131","-121,319",1
"4,5",142725,11,6085,0,2000,"47,6085","-121,952",1
"2,5",21781,8,2040,0,1994,"47,6458","-121,904",0
"2,5",21781,8,2040,0,1994,"47,6458","-121,904",1
1,10000,6,1090,0,1961,"47,6503","-121,911",0
"2,25",219542,7,1870,880,1981,"47,6367","-121,948",0
"1,75",15134,7,1410,0,1980,"47,6931","-121,921",1
3,19023,11,3910,0,1985,"47,6953","-121,914",0
