price;bedrooms;bathrooms;sqft_living;sqft_lot;floors;view;condition;grade;sqft_above;sqft_basement;yr_built;yr_renovated;lat;long;sqft_living15;sqft_lot15;price_sqft;caro
299000;1;0.75;560;12120;1;0;3;4;560;0;1967;0;47.675;-121.854;1300;19207;533.9285714;1
80000;1;0.75;430;5050;1;0;2;4;430;0;1912;0;476.499;-121.909;1200;7500;186.0465116;0
405000;2;0.75;1160;15029;1;0;4;6;870;290;1937;0;476.929;-121.87;1870;25346;349.137931;1
342000;3;1.75;1660;16275;2;0;3;7;1660;0;1990;0;476.903;-121.915;1520;16275;206.0240964;0
361000;3;1.75;1150;17585;1;0;3;7;1150;0;1964;0;476.503;-121.908;1200;7500;313.9130435;1
307000;3;1.75;1410;16105;1;0;3;7;1410;0;1982;0;476.927;-121.913;1550;18615;217.7304965;0
410500;4;2.5;1980;5000;2;0;3;8;1980;0;2008;0;476.492;-121.908;1400;8500;207.3232323;0
595000;3;2.75;2150;31238;2;0;3;9;2150;0;1996;0;476.596;-121.96;2650;38307;276.744186;1
504750;3;2.5;2490;21937;2;0;3;8;2490;0;1993;0;476.442;-121.898;2450;21937;202.7108434;0
415000;1;2;3000;204732;2.5;2;3;8;3000;0;1979;0;476.331;-121.945;2330;213008;138.3333333;0
300000;3;1;1010;10168;1;0;3;6;1010;0;1979;0;476.453;-121.912;1180;10318;297.029703;1
503000;4;2.5;2940;156988;2;2;3;9;1870;1070;1996;0;476.214;-121.946;2940;71002;171.0884354;0
420850;1;1;960;40946;1;0;5;5;960;0;1945;0;476.951;-121.864;1320;20350;438.3854167;1
134000;2;1.5;980;5000;2;0;3;7;980;0;1922;2003;477.076;-121.359;1040;5000;136.7346939;0
167000;1;1;780;10235;1.5;0;3;6;780;0;1989;0;47.713;-121.315;930;10165;214.1025641;0
685530;4;2.5;3130;60467;2;0;3;9;3130;0;1996;0;476.618;-121.962;2780;44224;219.0191693;0
