bedrooms;bathrooms;sqft_lot;floors;grade;sqft_above;sqft_basement;yr_built;lat;long;sqft_living15;sqft_lot15;caro
1;0.75;5050;1;4;0;0;1912;476.499;-121.909;0;0;0
1;0.75;15000;1;4;0;0;1947;476.554;-121.908;0;0;1
3;0.75;38500;1.5;5;0;0;1959;477.112;-121.315;0;0;1
1;0.75;12120;1;4;0;0;1967;47.675;-121.854;0;0;1
2;1;1164794;1;5;0;0;1915;476.888;-121.909;0;0;1
1;1;10235;1.5;6;0;0;1989;47.713;-121.315;0;0;0
4;1.75;15084;1;7;0;840;1979;476.895;-121.912;0;0;0
2;0.75;15029;1;6;0;290;1937;476.929;-121.87;0;0;1
3;1;6488;1.5;5;0;0;1928;477.087;-121.352;0;0;0
2;1;7500;1;6;0;0;1961;476.481;-121.916;0;0;1
2;1;12724;1;6;0;0;1912;476.567;-121.909;0;0;1
1;1;40946;1;5;0;0;1945;476.951;-121.864;0;0;1
2;1;223898;1;6;0;0;1985;476.668;-121.892;0;1;1
2;1;87991;1.5;5;0;0;1946;47.63;-121.9;1;1;0
2;1.5;5000;2;7;0;0;1922;477.076;-121.359;0;0;0
3;1;10168;1;6;0;0;1979;476.453;-121.912;0;0;1
2;1;43056;1.5;5;0;0;1990;477.105;-121.316;0;0;0
3;1;25000;1;6;0;0;1966;476.927;-121.901;1;1;0
2;1;20524;1;6;0;0;1949;476.981;-121.875;0;0;0
3;1.75;87991;1;6;0;1040;1970;476.724;-121.865;1;1;0
2;1.75;9750;1.5;7;0;0;1995;477.131;-121.319;0;0;1
3;1;10000;1;6;0;0;1961;476.503;-121.911;0;0;0
1;1;32010;1;6;0;0;1958;476.928;-121.87;0;0;1
3;2;17071;1;7;0;570;1988;47.69;-121.913;0;0;0
3;1;3240;1.5;6;0;0;1910;477.093;-121.364;0;0;0
3;1.75;17585;1;7;0;0;1964;476.503;-121.908;0;0;1
3;1.75;15003;1;7;0;580;1980;476.923;-121.92;0;0;0
2;1;7500;1.5;7;0;0;1916;476.499;-121.916;0;0;1
2;1.75;2500;2;7;0;0;2008;476.489;-121.911;0;0;1
4;1.5;9600;1;6;0;0;1980;476.462;-121.909;0;0;1
3;1;5000;1;6;0;0;1968;476.492;-121.915;0;0;1
3;1;6098;1;7;0;0;2013;477.074;-121.364;0;0;0
2;1.75;13052;1.5;7;0;0;1980;47.712;-121.352;0;0;0
2;1;92782;1;6;0;0;1950;476.624;-121.868;0;1;1
3;2.75;68479;1;8;0;500;1989;476.802;-121.908;1;0;0
3;1;18552;1.5;5;0;0;1935;477.129;-121.325;0;0;0
3;2.75;12860;1;7;0;1250;1965;47.695;-121.918;1;0;0
3;1.75;19550;1;7;0;0;1978;477.002;-121.912;0;0;1
3;1;7500;1;7;0;0;1960;476.499;-121.915;0;0;1
3;1.5;12500;1;6;0;0;1976;476.496;-121.908;0;0;0
5;1.75;5071;1;5;0;0;1916;476.499;-121.908;0;0;1
3;1.75;16105;1;7;0;0;1982;476.927;-121.913;0;0;0
3;1.75;15134;1;7;0;0;1980;476.931;-121.921;0;0;1
3;2.5;11480;2;7;0;0;1990;47.672;-121.864;1;1;0
4;2.5;42646;1;7;0;980;1989;476.164;-121.953;1;0;0
3;1.75;19113;1;7;0;0;1984;476.976;-121.916;0;0;1
4;1.5;9000;1;6;0;0;1976;476.492;-121.908;0;0;0
3;2;14992;1;8;0;0;2001;476.965;-121.922;0;0;0
3;2;15005;1;7;0;0;1986;476.886;-121.911;0;0;0
3;1.75;13598;1.5;7;0;520;1970;477.139;-121.321;0;0;0
3;1.75;47044;1;7;0;0;1989;47.654;-121.94;1;1;1
3;2.5;13816;2;7;0;0;1998;476.553;-121.912;0;0;0
3;2.5;13816;2;7;0;0;1998;476.553;-121.913;0;0;0
3;1.75;16275;2;7;0;0;1990;476.903;-121.915;0;0;0
3;2.5;18778;2;7;0;0;1997;476.521;-121.905;0;0;0
