bedrooms;bathrooms;sqft_lot;floors;grade;sqft_above;sqft_basement;yr_built;sqft_living15;caro
1;0.75;5050;1;4;0;0;1912;0;0
1;0.75;15000;1;4;0;0;1947;0;1
3;0.75;38500;1.5;5;0;0;1959;0;1
1;0.75;12120;1;4;0;0;1967;0;1
2;1;1164794;1;5;0;0;1915;0;1
1;1;10235;1.5;6;0;0;1989;0;0
4;1.75;15084;1;7;0;840;1979;0;0
2;0.75;15029;1;6;0;290;1937;0;1
3;1;6488;1.5;5;0;0;1928;0;0
2;1;7500;1;6;0;0;1961;0;1
2;1;12724;1;6;0;0;1912;0;1
1;1;40946;1;5;0;0;1945;0;1
2;1;223898;1;6;0;0;1985;0;1
2;1;87991;1.5;5;0;0;1946;1;0
2;1.5;5000;2;7;0;0;1922;0;0
3;1;10168;1;6;0;0;1979;0;1
2;1;43056;1.5;5;0;0;1990;0;0
3;1;25000;1;6;0;0;1966;1;0
2;1;20524;1;6;0;0;1949;0;0
3;1.75;87991;1;6;0;1040;1970;1;0
2;1.75;9750;1.5;7;0;0;1995;0;1
3;1;10000;1;6;0;0;1961;0;0
1;1;32010;1;6;0;0;1958;0;1
3;2;17071;1;7;0;570;1988;0;0
3;1;3240;1.5;6;0;0;1910;0;0
3;1.75;17585;1;7;0;0;1964;0;1
3;1.75;15003;1;7;0;580;1980;0;0
2;1;7500;1.5;7;0;0;1916;0;1
2;1.75;2500;2;7;0;0;2008;0;1
4;1.5;9600;1;6;0;0;1980;0;1
3;1;5000;1;6;0;0;1968;0;1
3;1;6098;1;7;0;0;2013;0;0
2;1.75;13052;1.5;7;0;0;1980;0;0
2;1;92782;1;6;0;0;1950;0;1
3;2.75;68479;1;8;0;500;1989;1;0
3;1;18552;1.5;5;0;0;1935;0;0
3;2.75;12860;1;7;0;1250;1965;1;0
3;1.75;19550;1;7;0;0;1978;0;1
3;1;7500;1;7;0;0;1960;0;1
3;1.5;12500;1;6;0;0;1976;0;0
5;1.75;5071;1;5;0;0;1916;0;1
3;1.75;16105;1;7;0;0;1982;0;0
3;1.75;15134;1;7;0;0;1980;0;1
3;2.5;11480;2;7;0;0;1990;1;0
4;2.5;42646;1;7;0;980;1989;1;0
3;1.75;19113;1;7;0;0;1984;0;1
4;1.5;9000;1;6;0;0;1976;0;0
3;2;14992;1;8;0;0;2001;0;0
3;2;15005;1;7;0;0;1986;0;0
3;1.75;13598;1.5;7;0;520;1970;0;0
3;1.75;47044;1;7;0;0;1989;1;1
3;2.5;13816;2;7;0;0;1998;0;0
3;2.5;13816;2;7;0;0;1998;0;0
3;1.75;16275;2;7;0;0;1990;0;0
3;2.5;18778;2;7;0;0;1997;0;0
3;1.5;8000;1.5;7;0;0;2012;1;1
3;1;19115;1;6;0;0;1986;0;0
3;2;15000;1;9;0;0;2011;0;1
3;2.5;147823;2;7;0;0;1999;1;1
3;1.75;66250;1.5;7;0;0;2003;0;0
3;1.75;23103;1;7;0;0;1968;0;0
3;2.5;374616;2;7;0;0;1999;0;1
3;2;16535;1;7;0;0;1992;0;0
3;2.5;21876;2;8;0;0;1992;1;0
4;2.5;156988;2;9;0;1070;1996;1;0
3;2.25;219542;2;7;0;880;1981;1;0
3;1.75;25157;2;7;0;0;1978;0;1
3;2.5;48716;1;9;0;970;1994;1;0
4;3;57499;1;9;0;1840;2003;1;0
4;2;14653;2;8;0;0;1978;0;0
2;1.75;280962;2;9;0;370;2005;1;1
5;1.75;501376;2;7;0;0;1930;0;1
3;1.75;15037;1;7;0;0;1989;0;0
4;2.5;5000;2;8;0;0;2008;0;0
3;1.75;15001;1;7;0;470;1989;0;0
3;2.5;57934;1;7;1;0;1978;1;1
3;2.25;21010;2;7;1;0;1995;0;0
4;2.5;21781;2;8;1;0;1994;1;0
4;2.5;21781;2;8;1;0;1994;1;1
2;2;58488;2;9;1;0;2005;0;0
3;2.5;129578;1;8;1;1130;1964;1;0
3;2;31550;1;8;1;0;2010;0;0
4;2.5;215186;2;7;1;0;1983;1;0
3;2.75;31238;2;9;1;0;1996;1;1
4;2;17180;2;7;1;0;1977;0;0
3;1.75;17550;1;7;1;0;1989;0;0
4;2.75;122403;1.5;7;1;0;1971;0;1
3;2.5;70567;2;9;1;0;1995;1;1
3;1.75;216493;1;8;1;0;1989;1;1
3;2.25;200811;1;7;1;0;1978;1;0
4;2.5;22445;2;8;1;0;1992;1;0
3;2;209088;1;7;1;0;1993;1;1
3;2;266151;1.5;7;1;0;1983;1;0
3;1.75;266587;2;8;1;490;1995;1;0
3;2.5;21937;2;8;1;0;1993;1;0
2;3;982278;1;8;1;0;2004;0;1
3;2.5;16420;2;8;1;0;1989;1;0
3;2.75;64626;1.5;8;1;0;2009;0;0
3;2.5;185130;2;9;1;0;1991;1;0
4;2.5;32780;2;9;1;0;1998;1;1
3;2.5;21883;2;8;1;0;1994;1;0
3;1.75;149410;1.5;9;1;0;1988;1;0
4;2.5;63118;2;9;1;0;1997;1;1
4;2.5;246114;2;9;1;0;1999;1;1
3;2.5;216493;2;9;1;0;1991;1;0
3;2.75;207781;2;9;1;0;2000;1;1
1;2;204732;2.5;8;1;0;1979;1;0
4;2.5;60467;2;9;1;0;1996;1;0
3;2.5;21893;2;9;1;0;2006;1;0
3;3;60392;2;9;1;940;1994;1;0
3;2.5;218235;1;8;1;0;1989;1;0
3;3.25;25741;2;8;1;0;1993;0;0
4;3.25;159430;2;9;1;0;2007;1;1
3;2.5;136343;2;10;1;0;1977;1;0
